#freeze
*IP

|Zone                 |Use|Listing|WebSite|h
|sbl-xbl.spamhaus.org |  1|Spam Source & Open Proxy|http://www.spamhaus.org/|
|bl.spamcop.net       |  1|Content Based|http://www.spamcop.net/|
|opm.blitzed.org      |  1|Open Proxy|http://opm.blitzed.org/|
|list.dsbl.org        |  0|open SMTP relays|http://dsbl.org/usage|
|bsb.empty.us         |  0|Blog Spam|http://bsb.empty.us/|
|bsb.spamlookup.net   |  0|Blog Spam|http://bradchoate.com/projects/spamlookup|
|niku.2ch.net         |  1|BBQ あらしお断りシステム|http://bbq.uso800.net/code.html|
|relays.ordb.org      |  0|Open Relay|http://www.ordb.org/faq/#usage_dns|
|all.rbl.jp           |  0|RBL.JP|http://www.rbl.jp/|

*HOST

|Zone                 |Use|Listing|WebSite|h
|rbl.bulkfeeds.jp     |  1||http://bulkfeeds.net/app/blacklist|
|psbl.surriel.com     |  0|Spamtrap Driven or Automated|http://psbl.surriel.com/|
|spamtrap.surriel.com |  0|Spamtrap Driven or Automated|http://psbl.surriel.com/|
|sbl-xbl.spamhaus.org |  1|Spam Source & Open Proxy|http://www.spamhaus.org/|
|sbl.spamhaus.org     |  0|Spam Source|http://www.spamhaus.org/|
|xbl.spamhaus.org     |  0|Open Proxy|http://www.spamhaus.org/|
|multi.surbl.org      |  1|Content Based|http://www.surbl.org/lists.html|
|multi.uribl.com      |  1|URI.COM|http://www.uribl.com/usage.shtml|
|url.rbl.jp           |  1|RBL.JP|http://www.rbl.jp/|
|bsb.empty.us         |  0|Blog Spam|http://bsb.empty.us/|
|bsb.spamlookup.net   |  0|Blog Spam|http://bradchoate.com/projects/spamlookup|
|cbl.abuseat.org      |  0|Open Proxy|http://cbl.abuseat.org/|
|spam.wytnij.to       |  0|Local and Personal|http://spam.wytnij.to/|
|ppbl.beat.st         |  0|Local and Personal||
|blocked.asgardnet.org|  0|Local and Personal||

